english,portuguese
Why do boys and girls like different toys?,Por que os meninos e as meninas gostam de brinquedos diferentes?
I knew that Tom was going to do that again.,Eu sabia que Tom ia fazer isso de novo.
I was wearing my best clothes.,Eu estava vestindo minhas melhores roupas.
I think we'd better talk to Tom.,Acho melhor falarmos com o Tom.
Is Tom really married?,Tom é realmente casado?
Who cut the cake?,Quem cortou o bolo?
Finish this.,Termine isso.
What'll happen to you?,O que vai acontecer com você?
Look how the trees sway in that wind.,Olha como as árvores ondulam naquele vento.
Tom got hit with a golf ball.,Tom foi atingido por uma bola de golfe.
I need money.,Eu necessito de dinheiro.
He will play golf next Sunday.,Ele vai jogar golfe no próximo domingo.
The fruit is similar to an orange in shape and to a pineapple in taste.,A fruta se assemelha a uma laranja na forma e a um abacaxi no gosto.
Perhaps I shouldn't go to Boston this weekend.,Talvez eu não deva ir para Boston esse fim de semana.
Tom left Australia on October 20th.,Tom deixou a Austrália no dia 20 de outubro.
Did you stop at the red light?,Você parou no sinal vermelho?
Tom got on the wrong bus.,Tom pegou o ônibus errado.
I love studying history.,Eu gosto de estudar história.
Your guess was right.,Seu palpite foi certeiro!
Is Tom an artist?,Tom é artista?
Tom will sing for Mary.,O Tom vai cantar para a Mary.
Things have changed.,As coisas já mudaram.
Where should we meet?,Onde devemos nos encontrar?
Tom isn't a perfectionist.,Tom não é perfeccionista.
We have pictures.,Nós temos fotos.
Tom is our best player.,Tom é o nosso melhor jogador.
I can still hear that noise.,Eu ainda posso escutar esse barulho.
Tom and Mary played chess.,Tom e Maria jogaram xadrez.
Tom said that he'd like to know why Mary needed to do that.,O Tom disse que gostaria de saber por que a Mary precisava fazer aquilo.
Can't you stay a little longer?,Não dá para você ficar um pouco mais?
We were shocked at the news of his death.,Ficamos chocados com a notícia da morte dele.
You shouldn't have done such a thing.,Você não devia ter feito uma coisa dessas.
He had no intention of waiting for three hours.,Ele não tinha a intenção de esperar por três horas.
How much is this dress?,Quanto custa este vestido?
Tom and Mary were sitting together.,Tom e Maria estavam sentados juntos.
I'm getting dizzy.,Estou ficando tonto.
Is this course good?,Esse curso é bom?
Tom shouldn't have gone yesterday.,Tom não deveria ter ido ontem.
We had enough money to buy the things we needed.,Tínhamos dinheiro o bastante para comprar as coisas de que precisávamos.
I'm speaking with my student.,Estou falando com meu aluno.
How does it work?,Como funciona?
Tom caused this mess.,Foi o Tom que causou esta bagunça.
I don't know where your umbrella is.,Não sei onde seu guarda-chuva está.
The Japanese live in harmony with nature.,Os japoneses vivem em harmonia com a natureza.
Tom won't try it again.,Tom não tenta novamente.
I'm very upset.,Estou muito chateado.
I'm not going to say it again.,Eu não vou falar de novo.
Tom spends most of his time in his room.,Tom passa a maior parte do tempo no quarto.
I think Tom slept here.,Eu acho que Tom dormiu aqui.
I'm going to move next month.,Eu vou me mudar próximo mês.
We want to remain like this.,Nós queremos permanecer assim.
Tom's room is still empty.,O quarto de Tom ainda está vazio.
Be careful when you cross the bridge.,Cuidado ao cruzar a ponte.
More than one million tons of coal are mined each day in Australia.,"Minera-se mais de um milhão de toneladas de carvão todo dia, na Austrália."
Tom has a tattoo on his forearm.,O Tom tem uma tatuagem no antebraço.
Tom likes to read fiction.,Tom gosta de ler ficção.
They stood.,Elas estavam de pé.
Thanks for the cake.,Obrigada pelo bolo.
You're egotistical.,Tu és egoísta.
We're eating dinner outdoors.,Nós estamos jantando fora de casa.
Who could possibly believe this?,Quem possivelmente seria capaz de acreditar nisso?
Is this legal?,Isto é legal?
We need capital.,Nós precisamos de capital.
How's your sister today?,Como está sua irmã hoje?
I should go with you.,Eu deveria ir contigo.
There's a beautiful meadow behind the house.,Existe um lindo prado atrás da casa.
How many people are you expecting?,Quantas pessoas você está esperando?
I think my German isn't very good.,Acho que meu alemão não é muito bom.
I wrote down the address for you.,Eu anotei o endereço para vocês.
She gets up early every morning.,Ela acorda cedo todos os dias.
Be careful. The floor is slippery.,Tome cuidado. O chão está escorregadio.
Tom was very grouchy today.,O Tom estava muito rabugento hoje.
Stop making a fool of yourself.,Pare de se fazer de bobo.
Tom is a good athlete.,Tom é um bom atleta.
I wanted your cooperation.,Eu queria a tua cooperação.
Tom is a good driver.,Tom é um bom motorista.
Don't let yourself be provoked into doing something that you may regret.,Não se deixe levar a fazer algo de que possa se arrepender.
I laughed until I cried.,Eu ri até chorar.
We need guns and ammunition.,Precisamos de armas e munições.
I'll tell you this one more time.,Eu lhe direi isto mais uma vez.
Tom has been really busy lately.,"Nesses últimos tempos,Tom esteve realmente ocupado."
That house is famous.,Essa casa é famosa.
Tom drank three glasses of wine.,Tom bebeu três taças de vinho.
I'm not going to tell you where Tom is.,Não vou te dizer onde o Tom está.
Tom is doing fine in school.,Tom está bem na escola.
I don't know what he'll do.,Eu não sei o que ele vai fazer.
Tell Tom that it was all my fault.,Diga a Tom que foi tudo culpa minha.
This beer has an alcohol content of 5%.,Esta cerveja tem um teor alcoólico de 5%.
I'm drinking milk.,Estou bebendo leite.
We can't allow that to happen.,Não podemos permitir que isso aconteça.
Natural resources are not abundant in Japan.,Os recursos naturais não são abundantes no Japão.
Tom answered in French.,Tom respondeu em francês.
It's time for you guys to make up.,Está na hora de fazerem as pazes.
I don't think that Tom likes swimming.,Eu não acho que o Tom goste de nadar.
Tom didn't have a bicycle when he was growing up.,Tom não tinha uma bicicleta quando ele estava crescendo.
He has blond hair.,Ele tem cabelo loiro.
We're willing to negotiate.,Estamos dispostos a negociar.
I've changed my stance on that.,Eu mudei minha posição sobre isso.
I'll sleep on the floor.,Eu vou dormir no chão.
It's poison.,É veneno.
She calls her sister Mina-chan.,Ela chama a irmã de Mina-chan.
It should be ready soon.,Deve estar pronto logo.
The cost of living in Tokyo is very high.,O custo de vida em Tóquio é muito alto.
I want a lawyer who can speak English.,Eu quero um advogado que saiba falar inglês.
I can't picture her playing the piano.,Não consigo imaginá-la tocando piano.
My friend is bilingual.,Minha amiga é bilíngue.
"Tom is creative, isn't he?","Tom é criativo, não é?"
Let go of my arm! I can't stand people touching me.,Solta meu braço! Eu não suporto pessoas me tocando.
I want two hot dogs with lots of pepper.,Quero dois cachorros-quentes com muita pimenta.
I stole the ring.,Eu roubei o anel.
Do you know the bride's parents?,Você conhece os pais da noiva?
We don't want war.,Nós não queremos guerra.
You told me you didn't have a dog.,Você me disse que não tinha cachorro.
You're competitive.,Tu és competitivo.
Tom has hundreds of books.,Tom possui centenas de livros.
Don't add too much salt.,Não ponham muito sal.
Do you like this city?,Você gosta desta cidade?
I am so busy that I can't help you.,"Estou tão ocupada, que não posso ajudá-lo."
Come with us.,Venham conosco.
You'll understand later.,Você vai entender depois.
There was absolutely no doubt.,Não havia absolutamente nenhuma dúvida.
Tom's eyes lit up.,Os olhos de Tom se iluminaram.
"I don't know what's going on around here, but I intend to find out.","Não sei o que está acontecendo por aqui, mas pretendo descobrir."
There's a radio on the table.,Tem um rádio na mesa.
"Are you going to Tom's party? ""I'm still not sure.""","Você vai à festa do Tom? ""Ainda não tenho certeza."""
Would you like to contribute to the program?,Você deseja contribuir com o programa?
She was advised by him to listen to her doctor.,Ela foi aconselhada por ele a ouvir o seu médico.
When was the last time you used a compass?,Quando foi a última vez que você usou uma bússola?
"I'm blind, not deaf.","Eu sou cego, não surdo."
I'm going to put this in the car.,Vou colocar isto no carro.
I understand more than you think.,Eu entendo mais do que você pensa.
Am I right?,Tenho razão?
Are you prepared for that?,Você está pronto para isso?
"Tom likes beef and I do, too.","Tom gosta de carne, e eu também."
I know why Tom went to Boston.,Eu sei por que o Tom foi para Boston.
Tom found the door locked.,Tom encontrou a porta trancada.
I don't know what the right answer is.,Não sei qual é a resposta correta.
Tom banged on the door with his fists.,O Tom bateu na porta com os punhos.
Tom will speak.,Tom falará.
Tom said he believed that.,Tom disse que ele acreditava naquilo.
Tom was wearing a kilt.,Tom estava usando um kilt.
Tom will talk.,Tom falará.
Can I help you with anything else?,Eu posso te ajudar com alguma coisa mais?
Tom likes watching soap operas.,Tom gosta de assistir à novelas.
You're unlucky.,Tu és azarado.
"You can't run, Tom.","Você não pode correr, Tom."
Tom accidentally ate some rat poison.,Tom ingeriu acidentalmente veneno de rato.
He left after me.,Ele partiu depois de mim.
Would you bring me some salt?,Você me traz um pouco de sal?
Do you want to tell me who they are?,Queres me dizer quem eles são?
I'll be in later.,Voltarei mais tarde.
They all loved Tom.,Eles todos amavam Tom.
I'm glad you remembered me.,Estou feliz que você se tenha lembrado de mim.
I believe Tom.,Eu acredito no Tom.
I got my driver's license on the second time I tried to pass the driver's test.,Consegui minha licença de motorista na segunda vez em que tentei passar no teste de direção.
Do you think Tom killed Mary?,Você acha que Tom matou Maria?
All my siblings are taller than me.,Todos os meus irmãos são mais altos do que eu.
I only want one.,Eu só quero uma.
Tom asked me if I wanted to have a drink.,Tom me perguntou se eu queria tomar um drinque.
I'm not afraid of change.,Eu não estou com medo de mudar.
What position do you hold?,Que cargo você ocupa?
My mother made me a white dress.,Minha mãe me fez um roupa branca.
You look sober.,Pareces sóbrio.
They aren't here.,Elas não estão aqui.
Tom isn't so understanding.,Tom não é tão compreensivo.
Can you tell me the WiFi password?,Pode me dizer a senha do WiFi?
Come over here right away.,Venha aqui agora mesmo.
I went to the hospital to ask about his health.,Eu fui ao hospital para perguntar sobre a saúde dele.
Tom is still too young to drink beer.,Tom ainda é muito novo para beber cerveja.
I'll clean up this mess myself.,Eu também vou limpar essa bagunça.
I figured that everybody knew that.,Imaginei que todo mundo soubesse disso.
Tom isn't as rich as his friends think he is.,Tom não é tão rico quanto seus amigos pensam.
I'm terribly sorry.,Lamento muitíssimo.
Some people still believe that the world is flat.,Algumas pessoas ainda acreditam que o mundo é plano.
Some people will believe anything.,Algumas pessoas poderão acreditar em qualquer coisa.
What are your thoughts on that?,Qual a sua opinião a respeito disso?
Tom said that he'd be thrilled to do that.,Tom disse que ficaria feliz em fazer isso.
Tom took several pictures of Mary's parents.,Tom tirou várias fotos dos pais de Mary.
She knows the truth.,Ela conhece a verdade.
Tom needs to be more specific.,Tom precisa ser mais específico.
Tom folded the napkins carefully.,Tom dobrou os guardanapos cuidadosamente.
That's the most annoying song I've ever heard.,Aquela é a música mais chata que já ouvi.
You broke my heart.,Você me partiu o coração.
It was a difficult year for us.,Foi um ano difícil para nós.
Tom is way busier than I am.,O Tom é muito mais ocupado do que eu.
Tom was standing on the other side of the fence.,Tom estava de pé do outro lado da cerca.
Tom tried to keep the children quiet.,Tom tentou manter as crianças quietas.
"Excuse me for interrupting you, but would you mind opening the window?","Desculpe-me te interroper, mas você se importaria em abrir a janela?"
"You know I'm just teasing you, right?","Sabes que só estou te provocando, né?"
I have to file a report.,Eu tenho que arquivar um relatório.
What's their approximate worth?,"Quanto valem, aproximadamente?"
Tom cracked an egg over Mary's head.,O Tom quebrou um ovo na cabeça da Maria.
Your son is a genius.,O seu filho é um gênio.
Many new factories have opened.,Muitas fábricas novas foram abertas.
We would like to distribute this product in Japan.,Gostaríamos de distribuir este produto no Japão.
The main character is a man whose name we do not know.,A personagem principal é um homem cujo nome não se sabe.
We like playing soccer.,Nós gostamos de jogar futebol.
What horrible weather!,Que tempo horrível!
I got a letter from a very good friend.,Recebi uma carta de um grande amigo.
Tom doesn't have to take the test again.,Tom não precisa fazer o teste outra vez.
